微博id,微博正文,发布时间,点赞数,转发数,评论数,热度值,关键短语
K8IZAn8oC,【#钟南山说不抓紧打疫苗有危险#】钟南山院士近日在接受采访时表示，虽然中国疫苗接种绝对数是世界第二，但是按百分比数的话，中国目前就4个百分点。只有接种疫苗，才能够得到比较好的保护。中国控制得好就是为了争取时间接种疫苗。别等外国免疫，中国反而危险了。独家|钟南山呼吁打疫苗：别等到外国免疫了，中国反而危险了  原图 ,2021-03-31,462889,13483,37379,31.82521805979229,争取时间接种#SPLIT#危险钟南山#SPLIT#控制争取时间#SPLIT#独家钟南山#SPLIT#疫苗接种绝对数
K8xOPoV8L,【对英雄最好的告慰，就是让悲剧不再发生】2019年3月30日，四川凉山木里森林火灾，27名森林消防指战员和4名地方干部群众在扑救中牺牲；2020年3月30日，四川凉山西昌市经久乡森林火灾，19名地方扑火人员牺牲，3人重伤。今天，#缅怀凉山扑火勇士#，#告慰英雄别让悲剧重演#。  原图 ,2021-03-30,92777,875790,8838,33.032258708421004,四川凉山#SPLIT#森林火灾#SPLIT#凉山扑火#SPLIT#凉山木里#SPLIT#凉山西昌市
K7RAToht2,【终止合作！#今天的热搜格式整整齐齐#】这是今天的热搜榜：多位艺人发布声明，宣布终止与H&M、阿迪达斯、耐克等品牌方的合作。#我支持新疆棉花#  原图 ,2021-03-25,473431,175748,12756,32.791447034009096,热搜#SPLIT#搜格式#SPLIT#终止阿迪达斯#SPLIT#阿迪达斯耐克#SPLIT#耐克品牌
K7Qgb7qxG,【#他们为什么拿新疆棉花做文章#】强迫劳动和暗无天日的压迫，他们自己历史上真的这么干了上百年，所以现在以己度人。#华春莹展示美国黑奴被迫采棉花照片#  原图 ,2021-03-25,437732,20495,8606,30.013163888332,做文章强迫#SPLIT#劳动暗无天日#SPLIT#华春莹展示#SPLIT#暗无天日压迫#SPLIT#棉花做文章
K7Q3NcNZG,【国货发声！这是#一张支持新疆棉的大长图#】中国的新疆棉花洁白无瑕，不容泼脏水，也不容污名化。李宁、安踏、特步、海澜之家等#国货齐发声支持新疆棉#：#我支持新疆棉花#！  原图 ,2021-03-25,857493,59633,26284,33.09199646053299,支持新疆#SPLIT#新疆棉#SPLIT#新疆棉花#SPLIT#不容污名化#SPLIT#不容泼脏水
K7MVqFzqY,【西方企业“碰瓷”新疆棉花引不满】H&M一份“停用新疆棉花”声明近日引发中国网友不满。事实上，近两年发表过与新疆棉花“切割”言论的外国企业还有不少。其中包括BCI成员巴宝莉、阿迪达斯、耐克、新百伦等。网友纷纷表示#中国市场不欢迎恶意中伤者#！目前查询发现，#耐克官方声明无法打开#。#耐克#  [组图共4张] 原图 ,2021-03-25,425860,42180,13151,31.357152978077714,新疆棉花#SPLIT#不满停用#SPLIT#停用新疆棉#SPLIT#切割言论#SPLIT#巴宝莉阿迪达斯
K7IpgaGqx,#我支持新疆棉花#  原图 ,2021-03-24,3029612,40539250,148648,42.84376859830386,新疆棉花#SPLIT#支持新疆
K7DEZBElH,【#张文宏称害怕打疫苗是人性问题#】24日，上海华山医院感染科主任张文宏在谈到有害怕打疫苗的心理时说，这其实不是疫苗问题，而是人性问题。“很多东西你得不到的时候，会一直非常盼望；当你可以得到，特别是免费时，你突然又觉得：为什么要给我？”长江日报的微博视频  ,2021-03-24,220753,11935,18858,30.30683474038576,害怕疫苗#SPLIT#主任张文宏#SPLIT#医院感染科#SPLIT#张文宏#SPLIT#张文宏谈到
K6W9YwbRz,【现场原声合集！#2分钟速览中美高层战略对话首日#】“你们没有资格在中国的面前说，你们从实力的地位出发同中国谈话。”“美国的这个老毛病要改一改了”…#中美高层战略对话#首日，中方严正回应↓↓当地时间19日，将举行此次对话的第三场会议，关注！  人民日报的微博视频  ,2021-03-19,399253,45332,14701,31.564075292389063,中美高层#SPLIT#原声合集#SPLIT#改一改中美#SPLIT#老毛病改一改#SPLIT#览中美
K6TIndVIN,#美国没资格居高临下同中国说话#，#中国人不吃这一套#！#中美高层战略对话#  原图 ,2021-03-19,1517270,521455,58508,36.74599592138703,中国不吃#SPLIT#资格居高临下#SPLIT#中美高层#SPLIT#居高临下中国#SPLIT#高层战略
K6Tk57Hx1,【现场视频！#美方致开场白严重超时挑起争端#，中方严正回应】美方在先致开场白时严重超时，并对中国内外政策无理攻击指责，挑起争端。这不是待客之道，也不符合外交礼仪，中方对此作出了严正回应。#中美高层战略对话现场#↓↓玉渊谭天的微博视频  ,2021-03-19,739639,52374,27260,32.94296266993008,开场白严重#SPLIT#严正回应#SPLIT#挑起争端#SPLIT#在先开场白#SPLIT#无理攻击
K5F4yB4Lm,【#2021励志大片#丨#中国再出发#】此时，960多万平方公里的土地上，生机翻涌。褪去寒冬的凛冽，我们奔赴向往的春天。出发，为了不曾改变的信仰，为了追逐梦想的渴望。正是每一个了不起的你，成为中国再出发的底气。@UNIQ-王一博 的旁白，是否说出了你的心声？准备好了吗？我们一起出发！ http://t.cn/A6tQhAiA ,2021-03-11,1018372,1447632,52076,37.39301678091842,中国再#SPLIT#大片丨#SPLIT#奔赴向往#SPLIT#寒冬凛冽#SPLIT#是否说出
K3Z4NoUuy,#人民日报评爱国者达叔永远都是主角#【#人民锐评#：#爱国者达叔永远都是主角#】“达叔走了…”知名喜剧演员吴孟达2月27日在香港病逝，让香港和内地的很多网友陷入悲痛之中。他生前留下的最后一条微博写着“我是中国人”，令无数网友集体致敬。然而，就是这种最纯粹的爱国情感，居然也能戳中香港一些宵小之徒的痛处。这些人越是攻击爱国者，越反衬出达叔心怀大义；越是恼羞成怒，越说明达叔人格高大。在香港这个舞台，爱国者达叔，和那些热爱国家的人，永远都是主角。http://t.cn/A6tSiFI9 原图 ,2021-02-28,378146,20271,11229,30.328031118106118,达叔#SPLIT#评爱国者#SPLIT#永远都是主角#SPLIT#叔永远都是#SPLIT#人格高大
